Abattoir Name,RC Nr,Province,Status,ZA Nr,Expiry Date of ZA,Transformation/ Government,Price Information,SETA,Tel. 1,Tel. 2,FAX,VAT Number,Distance from Headoffice,Postal Address,City,Postal Code,Municipality,Physical Address, GPS Coordinates (DMS), GPS Coordinates (DMS) 2,Owner,Owner email,Owner Cell,Manager,Manager email,Manager Cell,Training,Training email,Training Cell,Accounts,Account email,Accounts Cell,Emails,Meat Inspection Services (Assignee Name),Assignee Contact Name,Assignee Contact Number,Meat Inspectors,Meat Examiner,QA Manager/s or HMS Contact,Floor Supervisor,Technical Manager,Contact Number,Email,Quality Control & Hygiene Manager,Cell Number,Email Control & Hygiene Manager,L/H,G,Units,Amount Slaughtered,CATTLE,CALVES,SHEEP,PIG,GOAT,GAME,CROCODILES,HORSES,Kosher,Halaal,Classification (C/NC),Grader,Deboning Plant,Processing Plant,Rendering Plant,Residue,2018 Member,2019 Member,2020 Members,2021 Members,2022 Members,2023 Members,2024 Members,2025 Members,2026 Members,Other Comments,Modified By,Modified,Modified Fields,Old Values,New Values,Can Mail Be sent to Client?,Date Mail Sent,Verification,DB UPDATED,Latest Update Received,Data Base Comment 
Devon Abattoir,01/019,Gauteng,Active,ZA 338,26/07/2018,Transformation,,,073 127 9433,,,4660265887,120.7,P O Box 19,Devon,"2,266",Lesedi,"Portion A, Hanroux A Devon (Road between Devon and Nigel R550) 125 km",,,Ernest January,ejanuary@meducapital.co.za,082 253 2675,Gerrit Oelofse,gerrit.oelofse@gmail.com,082 253 2675,Patricia Maswanganye,devonbattoir@gmail.com; devonabattoirhygiene@gmail.com,073 020 0392,Louise Roux,wd@absamail.co.za; devonabattoir@gmail.com,,dick.ferreira@me.com,,,,,,,,,,,,,,HT,A,350,,x,,x,x,,,,,Yes,Yes,,,,,,x,Members,Members,Members,Members ,Members,Members,Members,Members,,,,,,,,No,,Pending Review,,,
Diamond L Abattoir,01/011,Gauteng,Active,,,?,,AgriSETA,083 468 3088,,086 510 0842,4250260561,17,Private Bag x2 Unit 197 Rant en Dal,Welbekend,"1,517",Bapsfontein,Farm Rietfontein. From CSIR take Garsfontein Rd and drive East for approx. 30 km. Diamond L ,,,Leon Labuschagne,sean@diamondl.co.za,083 468 3088,Carel John van Heerden,,082 618 3284,Martin Pretorius,qc@fttm.co.za; info@diamondl.co.za,083 979 8956,Meriska van der Walt,accounts@diamondl.co.za,076 401 3063,,,,,,,,,,,,,,,HT,A,100,,,,x,,x,,,,No,No ,,,,,,,Invoiced,,,,,,,,,Adreal asked me to email to Martin the dataform -16.03.23<br>Name amended from Farm to table to Diamond L - sent datasheet to be updated April 2025,,,,,,No,,Pending Review,2025.08.13,,New Owner updated details from the Abattoir certificate 
Diepkloof Abattoir - LIMPOPO,08/070,Mpumalanga,Closed,,,,,,013 262 2018,,,,327.8,P O Box 275,,,,,,,Andries D Olivier,,082 494 7415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Dieprivier Abattoir,06/028,Eastern Cape,Active,,,?,,,042 295 2404,,,,1172.6,P O Box 119,Jeffrey's Bay,"6,330",,,,,Clive Bramwell,,083 651 5701,,,,,,,,,,,,,,,,,,,,,,,,RT,R,2,,x,,x,,,,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,,
Docrat Abattoir ta Mpumalanga Abattoir,08/064,Mpumalanga,Active,,,Transformation,,,082 448 0411,074  554 4766,,,263.6,P O Box 236,Badplaas,"1,185",Albert Luthuli,Farm Boshoek 442 Badplaas,,,Muhammed Docrat,admin@docratmeat.co.za,082 448 0411,Muhammed Docrat,mmdocrat@gmail.com,082 448 0411,,,,,,,,,,,,,,,,,,,,dulcie0405@gmail.com,LT,E,12,,x,,x,,,,,,No ,Yes,,,,,,,Members,Members,Members,Members,Members,Members,Members,Members,,Vat number and phyisical address updated,,,,,,No,,Pending Review,2024.07.10,,New Manager's details updated and species and no latest dataform 
Doornplaat Abattoir,03/012R,North West,Active,ZA 231,15/08/2019,?,,,012 940 2571,082 651 3401,,4920255173,66.4,P O Box 20454,Rustenburg,305,Madibeng,1 Bonsmara Street Brits,,,Frederick Jacobus Coetzee,fred@doornplaat.com; reception@doornplaat.com,082 651 3401,Petri Schraader,abattoir@doornplaat.com; petri@doornplaat.com,082 446 1280,Grace Maluleke,grace@doornplaat.com,082 426 6435,,reception@doornplaat.com,082 319 3802,jackie@doornplaat.com; sophia@doornplaat.com,,,,,,,,,,,,,,HT,A,400,,x,,x,,,,,,No ,Yes,,,,,,x,Members,Members,Members ,Members ,Members,Members,Members,Members,,,,,,,,No,24-Feb-26,Pending Review,,2025.02.04,They also slaughter sheep from the current dataform
Dormehl Farms Abattoir,07/087,Western Cape,Closed,,,,,,044 356 9014,,,,1453.8,P O Box 14,,,,,,,Dormehl Farms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Dowefontein Abattoir,06/106,Eastern Cape,Active,,,?,,,049 846 9039,,049 846 9038,,935.5,P O Box 135,Aberdeen,"6,270",,,,,Hantie T Marx,dowefontein@telkomsa.net,082 572 1432,,,,,,,,,,,,,,,,,,,,,,,,RT,R,2,,,,x,,,x,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,,
Drakenstein Correctional Service,07/076,Western Cape,Active,,,,,,021 864 8205,,021 864 0123,,1421.3,Private Bag X 6005,Paarl,"7,620",Paarl,Wemmershoek Road between Franschoek and Paarl 1450km,,,Ralph Levendal,ralph.levendal@gmail.com,083 631 5939,Brenton Bailey,jones.chantal@dcs.gov.za,084 717 8258,Sam Mere,Keaboka.Mere@dcs.gov.za ,,,,,,,,,,,,,,,,,,,HT,E,68,,x,,,x,,,,,No,No ,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,2023.07.04,,Mr Sam Mere confirmed slaughter totals as 60 pigs & 8 cattle
Dreamland Piggery,01/010,Gauteng,Active,,,Transformation,Yes,,072 352 6471,,,4850257553,134.2,P O Box 4587,Vanderbijlpark,"1,911",Emfuleni,94 Kaalplaats Lochvaal Vanderbiljpark,26'43'42 2''S 27'41'59 4'E,,Anna Phosa,dreamlandpiggery@gmail.com,081 431 2441,Atlanta Lambard (Stadler),abattoirmanager@dreamlandpiggery.co.za,072 352 6471,Atlanta Lambard (Stadler),abattoirmanager@dreamlandpiggery.co.za,072 352 6471,Nthabiseng Mathebula and Mpumi Motloung,"admin@dreamlandpiggery.co.za, nthabisengm@dreamlandpiggery.co.za",,janveentjer@gmail.com,FSA,Marius Carstens / Thuthukani Sithole,,,,,,,,,,,,HT,C,40,,,,,x,,,,,No,No ,,,,,,,Members,Members,Members,Members ,Members,Members,Members,Members,,Updated from the latest report - 14.07.2022,,,,,,No,,Pending Review,,2025.06.02,No changes has been made from the lateset dataform
Dreamteam Trading 420 CC Agri Meat,05/044,KZN,Closed,,,?,,,082 859 3943,,,4090226699,579.6,P O Box 118,Eston,"3,740",,,,,MDU Kubheka,kubhekaame@yahoo.com,082 859 3943,,,,,,,,,,,,,,,,,,,,,,,,LT,E,10,,x,,x,,,,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,,
Driefontein Abattoir,04/043,Free State,Active,ZA 429,27-07-2026,No,Yes,,051 161 0003,,,4270271960,630,P O Box 119,Bethulie,"9,992",Xhariep (Kopanong),Driefontein Farm Bethulie R715 Bethulie,,,Henning Joubert,henning@3fontein.co.za,082 377 1626,Pieter Joubert,pieter@3fontein.co.za,072 323 8759,Jana van der Merwe,hms@3fontein.co.za,051 161 0003,Alida Labuschagne,accounts@3fontein.co.za,051 161 0003,hjjagri@gmail.com; info@3fontein.co.za; admin@3fontein.co.za,FSA,,,2,3,Jana van der Merwe,William Hlazo / Joseph Pitso,,,,,,,HT,A,155,155 Cattle / 930 sheep,x,,x,,,,,,No,Yes,C,,,,Yes,x,Members,Members,Members,Members ,Members,Members,Members,Members,,,,,,,,No,,Reviewed,,2025.01.29,"New Manager's details and export number updated 
Also Export number updated; updated units 31/03/2025"
Du Toit's Abattoir,04/023,Free State,Closed,,,,,,,,,,367.9,P O  Box 92,,,,,,,MA Du Toit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Dubula Abattoir,05/500,KZN,Active,,,?,,,083 680 5433,034 435 1104/1,,,453.5,,Pongola,"3,170",,"Pongola Private Game Reseve, Dabula Camp, Pongola, 3170",,,Mr K Landman,kemp@pongolagamereserve.co.za,,,,,,,,,,,,Yes,Dr. C.C Meintjies,,,,,,,,,,,,LT,,,,,,,,,,,,No ,No ,,,,,,,No ,,,,,,Members,awaiting payment,,,,,,,,No,,Pending Review,,2024.12.19,Owners email updated
E & T Abattoir,08/034,Mpumalanga,Active,,,?,,,082 809 7927,,,4330174683,357.9,P O Box 237,Piet Retief,"2,380",Mkhondo ,,"30°49'54""E ","27°01'47""S",Mr. E & MCJ Van Schalkwyk,evs@lando.co.za,082 809 7927,E van Schalkwyk,evs@lando.co.za,082 809 7927,,,,Liza Marais,evs@lando.co.za,083 226 8761,,,,,,,,,,,,,,,LT,C,25,,x,,,,,,,,No ,No ,,,,,,x,Members,Members,,,Members,Members,,Members,,,,,,,,No,,Pending Review,,,2018.03.15 Received from Dirk
East London Abattoir,06/044,Eastern Cape,Active,ZA 40,25-04-2019,?,yes,*-,043 726 3360,,,4670192170,1011,P O Box 3121,Cambridge East,"5,247",Buffalo City,1 Smithfield Road Cambridge East London 5247,,,Glen Page,glen@elliottbrothers.co.za,082 771 3596,,,,Ryan Pretorius,foodsafety@elliotbriothers.co.za,071 205 8155,Deon D Barnard,dbar@elliottbrothers.co.za,084 434 4000,belindas@elliotbrothers.co.za,,,,,,,,,,,,,,HT,A,500,,x,,x,,,,,,No,Yes,,,yes,,No,x,Members,Members,Members,Members,Members,Members,Members,Members,,Shayna said the are no longer slaughtering pigs,,,,,,No,24-Feb-26,Pending Review,,2025.06.27,Manager updated no longer Johan Erasmus and the new trainer's details updated
Eden Abattoir,04/069,Free State,Active,,,?,,,,,051 441 7475,,453.9,P O Box 100635,Bloemfontein,"9,326",,"Eden farm, N8 Road, Bloemfontein ",,,H J Taljaard,eden@iclix.co.za,072 478 2327,L Moss,,076 907 9773,,,,,abredenhann@gmail.com,,,,,,,,,,,,,,,,LT,,,,,,,,,,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,2025.01.23,2018.07.11,H J Taljaard he said it's been 3 years since he left the abattoir
Edenburg Vleishandel,04/010,Free State,Closed,,,?,,,,,,,533,P O Box 49,Edenburg,"9,908",,,,,JJ van Rooyen,,,,,,,,,,,,,,,,,,,,,,,,,,RT,E,3,,x,,,,,,,,No ,No,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,,
EL TORRO MEAT CO,■,Free State,Closed,ZA 377,22-08-2018,,,,058 481 3449,,058 481 2018,,332.9,P O BOX 51,SENEKAL,"9,600",,1 SWANEPOEL STREET,,,Mr S Engelbrecht,eltorromeat@gmail.com,083 510 8271,J Nel,,071 911 9489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
EL TORRO MEAT CO,04/051,Free State,Closed,,,?,,,079 879 9822,,058 481 4865,4840166328,340.2,P O Box 675,Senekal,"9,600",,,,,Ches H Sinclair,,,,bellfoods@gmail.com,,,,,,,,,,,,,,,,,,,,,,LT,D,15,,x,x,x,,,,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,,Abattoir The following abattoirs have stopped meat classification in 2023 – SAMIC
Elandfontein Abattoir,06/046,Eastern Cape,Closed,,,,,,048 884 9006,,,,892.4,P O Box 196,,,,,,,Jan Harm van Wyk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Eldorado Abattoir,09/022,Northern Cape,Active,,,,,,053 631 3473,,,,856,P O Box 674,,,,,,,Voorthuizen Farming CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Ellisras abattoir,02/031,Limpopo,Closed,,,?,,,,,,,278.8,P O Box 6070,Ellisras,557,,,,,,,,NJ Nel,,082 896 8861,,,,,,,,Yes,,,,,,,,,,,,,LT,E,10,,,,,,,,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,2018.06.27,Database received from Talita
Elna's Meat Market,02/037,Limpopo,Active,,,?,,,,,,,219.5,P O Box 4,Sterkrivier ,630,,,,,HB  Snyman,,,,,,,,,,rabat@mweb.co.za,,,,,,,,,,,,,,,,LT,E,5,,,,,,,,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,,
Elsenburg Abattoir,07/074,Western Cape,Closed,,,,,,021 808 5111,,,,1175.8,Private Bag X 1,,,,,,,Martiens M Wolhuter,,083 644 0627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Eltoro Meat Supplies (Bultfontein),04/037,Free State,Closed,,,?,,,,,051 853 7724,,385,P O Box 337,Bultfontein,"9,670",,,,,HA Mostert,,,,,,,,,,,,,,,,,,,,,,,,,,LT,D,12,,x,x,x,,,,,,No ,No ,,,,,,x,No ,,,,,,,,,,,,,,,No,,Pending Review,,,
Emadeleni Abattoir,05/068,KZN,Active,,,,,,,,,,560.4,P O Box 217,Umlaas Road,"3,730",Mkhambathini,D353 Thala Valley Umlaas Road 3730,,,Lyle Milton Wheeler,,,Quinton Lyle Wheeler,qlwheelertrust@gmail.com,082 388 6864,,,,,,,,,,,,,,,,,,,,,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,2024.02.01,New Abattoir updated the name of the owner and the addresses as well 2024.02.01
Emandeleni,,KZN,Active,,,?,,,,,,,451.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT,,,,,,,,,,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,,
Ermelo Kleynbegin Abattoir Duplicate,08/009,Mpumalanga,Active,,,?,,,017 811 1073,,,4460198692,229.6,P O Box 240 ,Ermelo,"2,350",,,,,Johan Kleynhans,,082 306 9770 / 071 675 3265,Neil Rustt,sandra.ermeloabattoir@gmail.com,082 906 4531,,,,,,,,,,,,,,,,,,,,,HT,A,140,,x,,x,x,,,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,,
Eshowe Abattoir (IMPI Meat Supply),05/005,KZN,Active,,,?,Yes,AgriSETA,035 474 5664,,035 474 3116,4540145606,623.2,P O Box 1311,Eshowe,"3,815",Eshowe,6-9 Bevis Crescent Eshowe 3815,,,J Schnetler,marc@emcokzn.co.za,082 899 6615,Chris Ayerst,chris@emcokzn.co.za,082 879 3303,Isabel Watkins,office@emcokzn.co.za,071 884 3392,Michelle Angus,michelle@emcokzn.co.za; reception@emcokzn.co.za,083 574 9117,carina@emcokzn.co.za,,,,,,,,,,,,,,HT,A,250,,x,,x,,,,,,No,No,,,,,,,Members,Members,Members ,Members,Members,Members,Members,Members,,New trainer's details updated 2024.02.05,,,,,,No,,Pending Review,,2025.09.29,They also slaughter sheeps and got the details from Nolwazi
Eskort Holdings (Pty) Ltd (Heidelberg),01/052,Gauteng,Active,ZA 58,23/02/2019,?,,,016 340 4600,,016 340 4612,4110101294,103.1,P O Box 28,Heidelberg,"1,438",Lesedi,"Prinsloo Street, Springfield, Heidelberg 1441 (N3 PTA to DBN, take Jacobstreet offramp, turn right and drive over N3, Turn left at 1st robot, pass under bridge",,,Eskort Limited - K Botha,,016 340 4609,Bongani Tshabalala,bonganit@eskort.com,066 485 1371,Phulane Maduna,phulane@eskort.com,073 165 6011,Annatjie Schutte,annatjies@eskort.com,,philipc@eskort.com; sued@eskort.com; wynandd@eskort.com,,,,,,,,,,,,,,HT,A,400,,,,,x,,,,,No,No ,,,Yes ,Yes ,,x,Invoiced,Members,Members ,Members,Members,Members,Members,Members,,,,,,,,No,,Pending Review,2020.01.16,,
Eskort Limited (Processing & Butchery),05/031,KZN,Closed,,,?,,,036 352 2112,,036 352 2906,,448,P O Box 1,Estcourt,"3,310",,,,,Eskort Limited,info@eskort.com,,Pieter Fourie,,,,,,Avinash A Ramballie,avinashr@eskort.com,,,,,,,,,,,,,,,,HT,A,100,,,,,x,,,,,No,No ,,,,,,,No,,,,,,,,,,,,,,,No,,Pending Review,,,
Eskort Limited (Processing & Butchery),05/038,KZN,Closed,,,,,,035 838 0099,,,,526.5,P O Box 50,,,,,,,SS Bengani,,082 720 3966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Esmarline Abattoir,new,North West,Active,,,?,,,082 807 6611,071 602 9925,,4550139697,67.7,P O Box 4572,Brits,,Madibeng,Plot 872 Mamogaleskraal distrik Brits,,,Jaco Schoeman,jacoschoeman1@icloud.com,082 807 6611,,esmarlineboerdery@gmail.com,071 602 9925,,,,,,,,,,,,,,,,,,,,,RT,,,,,,x,x,,,,,,,,,,,,,,,,,,members,,,,,,,,,,No,,Pending Review,,,
Estates Abattior ,02/028,Limpopo,Closed,,,,,,015 304 3154,,,,327.8,P O Box 4020,,,,,,,African Realty Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Excelsior / Coastel Abattoir,06/004,Eastern Cape,Inactive,,,,,,046 648 1916,,,,892.4,P O Box 177,,,,,,,DL Malan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Members,Members,Members,Members,,,,,,,,,No,,Pending Review,,,This is a duplication and the correct RC number is 09/057
Excelsior Abattoir,09/057,Northern Cape,Active,,,,,,053 555 0100,,534920336,4790198420,557,P O Box 1110,Kuruman,"8,460",Ga-Segonyana,"Voortrekker Street 1, Kuruman 8460",,,"Rianes De Klerk, Andrew Bothma",admin1@excelcior-abattoir.co.za,,Albert Grundling,albertg@yebo.co.za,,,,,,,,,,,,,,,,,,,,,,HT,A,100,,x,,x,,,,,,,,,,,,,x,,Members,Members,Members,Members,Members,Members,Members,,,,,,,,No,,Pending Review,,,
Excelsior Abattoir/check details Morgenzon,04/011,Free State,Active,,,?,,,028 514 2707,,086 583 0223,4790198420,557,P O Box 1110,Kuruman,"8,460",Ga-Segonyana,"Voortrekker Street 1, Kuruman 8460",,,A Grundlingh,admin1@excelsiorabattoir.co.za,083 285 1910,Rianes De Klerk,rianes@vodamail.co.za,083 285 1910,Nadia van Staden,nadiag21@vodamail.co.za,082 953 3377,Dalene van Staden,admin1@excelsior-abattoir.co.za,,excelsior@swellendam.com,,,,,,,,,,,,,,HT,R,50,,,,x,,,,,,No,No ,,,,,,,Members,Members,,,,,,,,,,,,,,No,,Pending Review,,,
F,04/096,Free State,Closed,,,,,,056 471 0767,,,,367.9,P O Box 33,,,,,,,JW Potgieter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Farmers Meat Abattoir,01/026,Gauteng,Active,ZA 443,,?,,,013 661 1557,,013 661 1557,4860195157,86.6,P O Box 534,Sundra,"2,200",,38 Witbank Road Sundra 2200,,,Johannes Davies Botha,admin@fmabattoir.co.za,082 808 8744,Mr T Botha,,082 808 8744,Heidi,admin@fmabattoir.co.za,079 501 6494,Lood du Preez,fmabattoir@wifi-mail.co.za,083 608 3705,fmmarket@wifidirect.co.za; herman@fmabattoir.co.za,,,,,,,,,,,,,,HT,A,300,,x,,x,x,,,,,No,No ,,,,,,x,Members,Members,Members,Members ,Members,Members,Members,Members,,Herman Waterboer ,,,,,,No,,Pending Review,2020.01.29,2025.07.22<br>2020.01.28,"SL - Units updated from 160 to 300 as per dataform
Training contacts updated"
Farmerscraft,06/039,Eastern Cape,Active,,,?,,,082 099 4900,082 099 4900,,,772.3,P O Box 103,Colesberg,"9,795",Middelburg EC,"Rivierweg no1, Middelburg",,,Jandre van Niekerk,jandrevn127@gmail.com,082 099 4900,,,,,,,,accounts@karoonatal.co.za,,,,,,,,,,,,,,,,LT,D,,,x,,x,,,x,,,No,No,,,,,,,No,,,,,,,,,,,,,,,No,,Pending Review,2025.01.23,,Jandre said the name Karoo Natal Abattoir has been changed to the current one and he is also managing the place as well
Fernbank Abattoir,07/055,Western Cape,Active,,,?,,,044 356 2953,,044 356 2719,,1279.3,P O Box 1,Karatara,"6,850",,,,,Fernbank Abattoir,aubreyb.robertson@gmail.com,083 303 7789,,aubrey.robertson@gmail.com,,,,,,,,,,,,,,,,,,,,,,LT,E,10,,x,x,x,x,,,,,No,No,,,,,,,No,,,,,,,,,,,,,,,No,,Pending Review,,,
Ficksburg Abattoir ,04/009,Free State,Active,,,?,,,051 933 4611,,051 933 4558,,340.2,P O Box 675,Senekal,"9,600",,,,,Louise Sinclair,sinclairlouise34@gmail.com,072 030 9088,Me L Sinclair / Mr Klippies Naude,,083 600 0341,,,,,,,,,,,,,,,,,,,,,LT,D,15,,x,x,x,,,,,,No ,No ,,,,,,,Members,,,,,,,,,,,,,,,No,,Pending Review,,,
Fish River Abattoir,06/098,Eastern Cape,Closed,,,?,,,046 622 4412,,,,1035.6,P O Box 233,Grahamstown,"6,139",,,,,Johan Coetzee,,,,,,,,,,,,,,,,,,,,,,,,,,LT,E,6,,x,,,,,,,,No,No,,,,,,,No,,,,,,,,,,,,,,,No,,Pending Review,,,
Flo Mosoane,,,Active,,,Yes,,,076 140 5027,,,,864.1,,,,,,,,,,,,,,,,,,,,mosoaneflo@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,No,,,,,,,,,,,,,,,No,,Pending Review,,,
Foch Abattoir & Cold Meats,03/010,North West,Closed,,,,,,018 771 4557,,,,351.5,P.O. Box 1266,,,,,,,PC PC Fourie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Fochville Abattoir/check address details,01/014,Gauteng,Active,ZA 482,,?,,,076 774 1336,018 771 0007,011 316 7887,4260170057,134.8,P O Box 540 ,Olifantsfontein,"1,665",Marafong City,1 Bosman Street Fochville (138 km),,,Luis Gomes,luis@albrosmeat.co.za,076 774 1336,Stephan Myburg,fochville@fochville-abattoir.co.za,076 774 1336,Lisa Smit,,081 303 7122,Patrys Rossouw,patrys@texlandmeat.co.za; accounts@texlandmeat.co.za,074 583 2532,,,,,,,,,,,,Jonathan Boke,072 217 1440,qualitycontroller@fochville-abattoir.co.za,HT,A,120,,x,,,,,,,,No,No,,,,,,,No,,,,,,,,,,,,,,,No,,Pending Review,,2024.02.14,Updated quality controller & hygiene manager details + ZA number
Fonte Abattoir,06/090,Eastern Cape,Active,,,?,,,042 295 2469,,,4500190949,1180.8,P O Box 189,Humansdorp,"6,300",Kouga,Villa Fonte Humansdorp,,,J Du Plessis Family Trust,riana@igen.co.za,082 657 4558,Chalise du Plessis,riana@igen.co.za,066 247 5827,,,,,,,,,,,,,,,,,,,,,RT,R,2,,x,,,,,,,,No,No,,,,,,,No,,,,,,,Members,,,,,,,,No,,Pending Review,,2024.09.20,New abattoir folder created 
Fontein Abattoir,05/078,KZN,Closed,,,?,,,,,035 450 2955,,575.4,P O Box 198,Melmoth,"3,835",,,,,Frans H van der Merwe,,082 785 8188,,,,,,,,,,,,,,,,,,,,,,,,LT,E,8,,x,,,,,,,,No,No,,,,,,,No,,,,,,,,,,,,,,,No,,Pending Review,,,
Fort Beaufort Municipality Abattoir,06/019,Eastern Cape,Closed,,,,,,046 645 1136,,,,957,P O Box 36,,,,,,,Fort Beaufort Municipality Abattoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Fort Cox Agric College Abattoir,06/041,Eastern Cape,Closed,,,,,,040 653 8035,040 653 8034,,,1010.6,P O Box 2187,,,,,,,Fort Cox Agric College,,083 451 1554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Fourie Trust,04/063,Free State,Closed,,,?,,,,,,,453.4,P O Box 276,Bloemfontein,"2,660",,,,,Hendrik Strauss,,,,,,,,,,,,,,,,,,,,,,,,,,LT,E,5,,,,,,,,,,No,No,,,,,,,No,,,,,,,,,,,,,,,No,,Pending Review,,,
Fourie's Vleis Abattoir,03/031R,North West,Active,,,?,,,023 614 2115,,023 614 2092,,414.9,P O Box 349,Ganyesa,"6,720",,Excelsior Vryburg,,,Mr. P.M. Fourie,,082 770 7607,,,,,pmwanda@vodamail.co.za,,,,,,,,,,,,,,,,,,,LT,E,5,,x,,x,x,x,,,,No,No,,,,,,,Members,Members,Members ,Members ,Members,Members,Members,Members,,,,,,,,No,,Pending Review,,2018.07.04,Database received from Talita
Foxtrot Abattoir,01/034,Gauteng,Closed,,,,,,082 776 6713,,,,66,P O Box 447,,,,,,,Christina Rossouw,,082 776 6713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Frankfort Vleisverspreiders,04/075,Free State,Closed,,,?,,AgriSETA,,,,,168.9,Private Bag X 2037,Sasolburg,"9,570",,"N3 Villiers, R 26 Frankfort, Industrial Area",,,Sterklewies (Pty) Ltd,,,Petrus P Sebini,frankfort@eac.co.za,082 901 6907,Charmaine Nel,,,Hermien Badenhorst,,,,,,,,,,,,,,,,,HT,A,150,,x,x,,,,,,,No,No,,,,,,,No,,,,,,,,,,,,,,,No,,Pending Review,,,
Free Range Meat Distributors (PTY )LTD - My Karoo,07/072,Western Cape,Closed,,,?,,,,,,,995,,,,,"Produksie straat, Beaufort-Wes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,LT,,,,x,,,,,,,,No,No,,,,,,,No,,,,,,,,,,,,,,,No,,Pending Review,,,
Frey's Cato Ridge,05/071,KZN,Active,ZA 304,2/4/2019,?,,AgriSETA,031 784 8184,,,4930218203,574.5,Private Bag X-06,Cato Ridge,"3,680",Ethekwini,"1 Eddie Hagen Drive, Cato Ridge 3680",,,Victory Trust - Walter Frey,walterf@freys.co.za,082 673 8525/ 036 488 1200,Wiseman Ndlovu,wisemann@freys.co.za,083 320 8528,Alex Shozi,,031 813 9811,Busi Zuma,busiz@freys.co.za,031 813 9600,luannef@freys.co.za,,,,,,,,,,,,,,HT,A,400,,,,,x,,,,,No,Yes,,,,,,x,Members,Members,Members,Members,Members,Members,Members,Members,,,,,,,,No,3-Mar-26,Pending Review,,,Dataform to be updated this week 2025.03.24
Friesland Abattoir,02/025,Limpopo,Closed,,,,,,014 763 2757,,,,327.8,P O Box 149,,,,,,,PJ Kruger,,082 873 9479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
